game_id,temp_C,feelslike_C,rel_humidity_pc,dewpoint_C,surface_pressure_hPa,wind_speed_kmh,cloudcover_pc,rain_mm,snowfall_cm
1999_01_ARI_PHI,26.45,27.25,37.0,10.62,1020.5,1.5,3.25,0.0,0.0
1999_01_BAL_STL,25.85,25.32,52.5,14.47,998.38,14.03,85.5,1.6,0.0
1999_01_BUF_IND,30.7,28.18,26.75,9.2,989.7,18.17,55.25,0.0,0.0
1999_01_CAR_NO,28.95,32.12,72.25,23.42,1015.3,19.62,43.0,0.7,0.0
1999_01_CIN_TEN,32.15,31.4,31.0,12.85,1000.48,15.1,20.25,0.0,0.0
1999_01_DAL_WAS,26.35,26.63,39.0,11.3,1017.25,6.65,0.0,0.0,0.0
1999_01_DET_SEA,23.78,22.05,38.0,8.48,1015.25,13.8,0.0,0.0,0.0
1999_01_KC_CHI,24.15,22.7,53.25,13.77,990.72,18.7,79.75,0.2,0.0
1999_01_MIA_DEN,15.52,13.05,51.0,5.3,844.3,8.9,4.25,0.0,0.0
1999_01_MIN_ATL,30.25,30.0,28.25,9.88,982.9,9.82,5.0,0.0,0.0
1999_01_NE_NYJ,25.0,26.08,46.5,12.77,1019.0,3.72,8.25,0.0,0.0
1999_01_NYG_TB,29.2,33.65,71.5,23.5,1013.72,11.77,63.25,1.6,0.0
1999_01_OAK_GB,20.2,20.22,81.0,16.75,989.6,15.9,93.75,4.4,0.0
1999_01_PIT_CLE,28.42,29.28,45.75,15.5,994.53,11.6,8.5,0.0,0.0
1999_01_SF_JAX,26.45,29.28,80.5,22.83,1016.12,17.98,87.0,1.8,0.0
1999_02_ARI_MIA,27.67,30.28,77.5,23.4,1011.82,21.55,79.25,1.7,0.0
1999_02_ATL_DAL,29.28,27.82,43.75,15.58,998.45,23.18,10.25,0.0,0.0
1999_02_CLE_TEN,29.42,29.6,37.75,13.55,998.58,7.93,22.5,0.0,0.0
1999_02_DEN_KC,21.4,22.02,72.75,16.32,981.48,10.95,100.0,1.0,0.0
1999_02_GB_DET,24.32,21.98,38.75,9.28,992.88,17.75,11.25,0.0,0.0
1999_02_IND_NE,20.17,20.27,53.25,10.28,1010.15,3.85,0.0,0.0,0.0
1999_02_JAX_CAR,24.38,24.82,49.5,13.1,988.8,5.45,89.25,0.0,0.0
1999_02_NO_SF,17.4,16.52,64.5,10.58,1009.9,12.02,25.5,0.0,0.0
1999_02_NYJ_BUF,22.32,21.22,44.75,9.8,994.65,10.52,10.0,0.0,0.0
1999_02_OAK_MIN,17.35,14.68,55.25,8.22,983.3,15.55,48.0,0.0,0.0
1999_02_PIT_BAL,22.1,21.78,55.5,12.72,1018.02,10.2,50.0,0.0,0.0
1999_02_SD_CIN,27.28,26.0,26.0,6.02,994.18,5.65,0.5,0.0,0.0
1999_02_SEA_CHI,25.25,23.5,45.5,12.6,989.08,21.38,17.0,0.0,0.0
1999_02_TB_PHI,22.9,22.55,47.0,11.0,1018.22,7.3,43.75,0.0,0.0
1999_02_WAS_NYG,22.12,21.52,49.75,11.2,1016.85,7.7,37.75,0.0,0.0
1999_03_ATL_STL,30.33,28.02,32.5,12.05,994.12,23.05,16.5,0.0,0.0
1999_03_CHI_OAK,26.55,27.15,34.25,9.55,1011.7,4.1,0.0,0.0,0.0
1999_03_CIN_CAR,25.5,27.22,62.75,17.82,990.98,7.38,69.5,0.0,0.0
1999_03_CLE_BAL,24.05,25.42,67.0,17.55,1021.78,11.7,0.25,0.0,0.0
1999_03_DEN_TB,25.48,30.2,94.0,24.42,1014.5,11.25,77.75,6.3,0.0
1999_03_DET_KC,27.1,27.33,52.25,16.4,975.88,17.08,55.75,0.0,0.0
1999_03_IND_SD,19.75,20.98,75.75,15.32,1008.3,10.6,19.25,0.0,0.0
1999_03_MIN_GB,25.7,22.98,45.75,13.05,985.55,27.02,54.5,0.0,0.0
1999_03_NYG_NE,17.78,17.1,53.25,8.15,1015.2,3.58,5.75,0.0,0.0
1999_03_PHI_BUF,25.08,25.8,50.5,14.05,997.98,7.02,0.0,0.0,0.0
1999_03_SEA_PIT,28.17,27.85,35.0,11.28,989.82,9.1,0.0,0.0,0.0
1999_03_SF_ARI,35.9,33.28,15.0,5.05,965.85,9.93,0.0,0.0,0.0
1999_03_TEN_JAX,24.38,27.88,93.5,23.3,1015.85,15.1,99.5,16.9,0.0
1999_03_WAS_NYJ,19.65,19.45,61.0,11.92,1022.48,7.1,19.75,0.0,0.0
1999_04_ARI_DAL,31.25,33.43,43.25,17.15,1000.9,9.6,6.5,0.0,0.0
1999_04_BAL_ATL,26.72,27.65,55.5,16.93,984.18,11.1,33.25,0.3,0.0
1999_04_BUF_MIA,26.12,30.8,86.25,23.75,1014.97,8.48,54.0,0.4,0.0
1999_04_CAR_WAS,24.17,26.0,57.0,15.12,1017.75,2.38,21.0,0.0,0.0
1999_04_JAX_PIT,19.7,19.32,53.25,9.98,992.75,2.68,84.75,0.0,0.0
1999_04_KC_SD,22.42,24.05,67.25,16.02,1011.48,12.5,0.25,0.0,0.0
1999_04_NE_CLE,14.9,12.02,54.75,5.93,1000.78,13.12,100.0,0.0,0.0
1999_04_NO_CHI,8.52,4.3,79.5,5.15,1000.4,20.58,99.0,3.9,0.0
1999_04_NYJ_DEN,11.0,7.88,55.25,2.32,843.85,13.77,29.25,0.0,0.0
1999_04_OAK_SEA,17.8,15.68,44.75,5.48,1012.65,8.85,0.0,0.0,0.0
1999_04_PHI_NYG,22.22,22.8,60.5,14.2,1019.88,6.98,21.25,0.0,0.0
1999_04_STL_CIN,23.33,22.75,45.25,10.75,999.05,8.75,40.5,0.0,0.0
1999_04_TB_MIN,8.72,5.48,40.25,-4.02,995.5,5.45,100.0,0.0,0.0
1999_04_TEN_SF,17.32,16.55,63.0,10.15,1014.92,10.12,23.0,0.0,0.0
1999_05_ATL_NO,23.3,27.78,97.25,22.85,1015.72,6.53,100.0,4.1,0.0
1999_05_BAL_TEN,24.48,25.8,65.75,17.7,1000.72,10.48,66.0,0.0,0.0
1999_05_CHI_MIN,17.78,14.4,43.0,5.0,989.48,16.15,13.75,0.0,0.0
1999_05_CIN_CLE,18.85,19.5,84.75,16.25,991.42,10.25,94.25,0.0,0.0
1999_05_DAL_PHI,18.5,18.4,91.5,17.08,1014.4,17.77,100.0,0.9,0.0
1999_05_DEN_OAK,26.15,26.75,40.75,11.45,1011.05,4.5,0.0,0.0,0.0
1999_05_JAX_NYJ,13.6,10.32,54.25,4.53,1019.75,13.3,0.0,0.0,0.0
1999_05_MIA_IND,20.3,20.98,74.0,15.5,991.08,8.57,91.25,0.0,0.0
1999_05_NE_KC,24.12,25.22,58.5,15.4,986.82,8.72,0.0,0.0,0.0
1999_05_NYG_ARI,35.8,32.83,10.0,-0.95,974.0,13.6,0.0,0.0,0.0
1999_05_PIT_BUF,18.9,18.6,78.75,15.08,991.48,13.5,65.5,0.0,0.0
1999_05_SD_DET,21.22,21.45,67.0,14.82,992.68,10.15,87.25,0.0,0.0
1999_05_SF_STL,24.63,25.35,57.75,15.65,1000.97,8.95,25.0,0.0,0.0
1999_05_TB_GB,18.42,16.2,50.0,7.78,995.42,11.65,2.25,0.0,0.0
1999_06_CAR_SF,24.42,20.68,14.0,-4.88,1018.3,10.92,0.0,0.0,0.0
1999_06_CLE_JAX,24.22,24.82,74.0,19.32,1004.45,20.2,91.0,0.0,0.0
1999_06_DAL_NYG,9.9,6.18,58.25,2.08,1017.12,13.2,0.0,0.0,0.0
1999_06_GB_DEN,3.42,0.55,49.0,-6.3,843.3,6.15,0.0,0.0,0.0
1999_06_IND_NYJ,20.35,21.52,75.5,15.9,1008.65,5.6,39.0,0.0,0.0
1999_06_MIA_NE,21.17,21.08,66.75,14.72,1000.88,11.35,31.0,0.0,0.0
1999_06_MIN_DET,12.75,9.78,58.25,4.82,994.85,11.77,71.5,0.0,0.0
1999_06_OAK_BUF,10.62,9.22,92.75,9.48,992.97,8.82,88.5,2.8,0.0
1999_06_PHI_CHI,9.82,5.5,52.25,0.52,997.4,15.6,30.75,0.0,0.0
1999_06_PIT_CIN,13.15,11.28,89.75,11.52,994.42,15.98,100.0,0.8,0.0
1999_06_SEA_SD,23.02,22.8,44.75,10.28,1015.78,10.0,0.5,0.0,0.0
1999_06_STL_ATL,25.2,23.9,48.5,13.55,972.8,20.72,0.0,0.0,0.0
1999_06_TEN_NO,27.58,29.3,54.0,17.45,1012.28,10.68,7.0,0.0,0.0
1999_06_WAS_ARI,23.82,18.0,9.25,-10.2,978.65,24.67,0.0,0.0,0.0
1999_07_ATL_PIT,7.87,4.03,65.25,1.72,989.1,13.92,0.25,0.0,0.0
1999_07_BUF_SEA,11.4,9.88,73.5,6.65,1020.75,4.47,35.25,0.0,0.0
1999_07_CHI_TB,18.92,16.5,43.0,6.1,1017.1,15.3,0.0,0.0,0.0
1999_07_CIN_IND,8.98,5.72,54.0,0.18,997.82,8.15,52.75,0.0,0.0
1999_07_CLE_STL,11.12,8.25,39.75,-2.15,1007.85,4.9,0.0,0.0,0.0
1999_07_DEN_NE,12.2,8.98,54.5,3.3,997.0,11.42,95.75,0.0,0.0
1999_07_DET_CAR,13.0,8.82,39.75,-0.42,989.0,14.7,21.75,0.0,0.0
1999_07_GB_SD,24.05,24.15,49.5,12.82,1013.47,9.68,7.5,0.0,0.0
1999_07_KC_BAL,9.98,7.55,79.0,6.5,1014.6,10.6,0.0,0.0,0.0
1999_07_NO_NYG,12.02,8.25,57.75,3.92,1008.08,15.8,88.5,0.0,0.0
1999_07_NYJ_OAK,15.32,14.92,65.75,8.67,1018.97,2.9,11.25,0.0,0.0
1999_07_PHI_MIA,24.08,23.55,56.75,15.0,1013.65,18.55,22.5,0.0,0.0
1999_07_SF_MIN,10.38,5.52,36.5,-3.9,987.78,15.35,0.5,0.0,0.0
1999_07_WAS_DAL,20.12,17.85,22.0,-2.38,1008.75,4.05,0.0,0.0,0.0
1999_08_BUF_BAL,21.92,22.25,65.0,15.05,1021.38,9.57,21.0,0.0,0.0
1999_08_CAR_ATL,22.95,22.22,56.5,13.9,987.15,14.15,46.25,0.0,0.0
1999_08_CHI_WAS,22.98,23.55,61.25,15.05,1018.38,7.5,21.5,0.0,0.0
1999_08_CLE_NO,22.68,24.75,87.5,20.42,1017.38,13.82,79.75,5.2,0.0
1999_08_DAL_IND,22.45,22.48,56.5,13.32,997.52,7.22,34.0,0.0,0.0
1999_08_JAX_CIN,23.0,23.2,54.75,13.35,1003.25,5.78,38.5,0.0,0.0
1999_08_MIA_OAK,19.85,18.88,53.5,9.93,1020.82,8.65,0.0,0.0,0.0
1999_08_MIN_DEN,20.15,17.3,24.0,-1.12,846.02,5.58,0.0,0.0,0.0
1999_08_NE_ARI,28.88,25.0,8.25,-8.43,978.65,10.8,0.0,0.0,0.0
1999_08_NYG_PHI,21.82,21.62,62.5,14.3,1020.55,11.15,8.5,0.0,0.0
1999_08_SD_KC,20.2,19.85,63.0,12.9,988.38,9.12,6.75,0.0,0.0
1999_08_SEA_GB,9.02,2.58,44.75,-2.42,990.28,27.15,0.0,0.0,0.0
1999_08_STL_TEN,25.3,25.33,49.25,13.88,1006.75,8.9,28.25,0.0,0.0
1999_08_TB_DET,18.85,17.4,51.25,8.45,1001.1,7.22,1.5,0.0,0.0
1999_09_ARI_NYJ,7.5,1.32,39.25,-5.52,1017.12,22.62,72.0,0.0,0.0
1999_09_BAL_CLE,6.55,2.65,61.0,-0.43,1005.1,11.88,28.75,0.0,0.0
1999_09_BUF_WAS,11.5,6.93,43.5,-0.5,1018.58,16.12,19.5,0.0,0.0
1999_09_CHI_GB,11.0,7.12,41.25,-1.65,1006.25,10.32,3.25,0.0,0.0
1999_09_CIN_SEA,13.38,12.77,80.0,9.93,1002.82,4.1,38.0,0.0,0.0
1999_09_DAL_MIN,18.52,15.12,52.5,8.65,974.82,21.08,29.5,0.0,0.0
1999_09_DEN_SD,17.8,17.22,62.0,10.38,1016.15,5.22,48.75,0.0,0.0
1999_09_JAX_ATL,22.28,22.28,45.75,10.0,987.7,2.12,0.0,0.0,0.0
1999_09_KC_IND,11.85,8.1,35.5,-2.97,1001.58,8.35,94.75,0.0,0.0
1999_09_PHI_CAR,20.52,19.73,48.5,9.2,994.15,4.9,0.0,0.0,0.0
1999_09_PIT_SF,18.4,13.38,60.0,10.48,1008.72,35.33,97.25,0.7,0.0
1999_09_STL_DET,8.17,4.47,43.75,-3.5,1006.8,7.15,27.5,0.0,0.0
1999_09_TB_NO,22.5,21.52,44.75,9.95,1025.03,10.63,0.0,0.0,0.0
1999_09_TEN_MIA,24.98,23.17,68.75,18.83,1017.42,34.45,57.5,0.0,0.0
1999_10_BAL_JAX,24.25,23.48,45.25,11.62,1014.72,10.65,0.0,0.0,0.0
1999_10_CAR_STL,17.4,12.15,25.75,-2.52,1003.47,18.8,9.0,0.0,0.0
1999_10_CLE_PIT,12.6,8.15,55.5,3.88,979.55,20.92,46.25,0.0,0.0
1999_10_DEN_SEA,13.58,13.62,89.5,11.88,1011.1,3.58,31.5,0.0,0.0
1999_10_DET_ARI,29.28,26.3,13.0,-2.1,977.52,6.05,0.0,0.0,0.0
1999_10_GB_DAL,27.02,27.02,38.25,11.55,1004.7,5.12,0.0,0.0,0.0
1999_10_IND_NYG,15.32,13.8,74.5,10.77,998.18,11.8,89.5,0.0,0.0
1999_10_KC_TB,24.7,24.98,56.75,15.6,1016.02,12.6,2.75,0.0,0.0
1999_10_MIA_BUF,7.95,1.55,54.25,-0.75,986.62,28.58,94.0,0.0,0.0
1999_10_MIN_CHI,9.95,4.53,45.25,-1.33,996.78,21.15,0.5,0.0,0.0
1999_10_NYJ_NE,1.42,-3.88,51.5,-7.43,986.82,15.35,7.75,0.0,0.0
1999_10_SD_OAK,15.15,14.58,81.0,11.9,1016.1,8.32,45.5,0.0,0.0
1999_10_SF_NO,23.67,23.18,45.5,11.3,1019.32,9.33,0.0,0.0,0.0
1999_10_TEN_CIN,16.38,12.05,37.5,1.8,993.7,17.2,0.0,0.0,0.0
1999_10_WAS_PHI,17.78,16.18,67.5,11.73,1000.8,14.38,68.5,0.1,0.0
1999_11_ATL_TB,24.1,25.3,62.25,16.42,1013.6,7.48,55.75,1.0,0.0
1999_11_BAL_CIN,17.8,17.25,72.5,12.8,995.18,9.72,90.75,0.0,0.0
1999_11_BUF_NYJ,15.85,15.55,76.0,11.58,1019.88,5.18,16.0,0.0,0.0
1999_11_CAR_CLE,14.68,14.1,80.0,11.22,994.3,6.48,95.75,0.0,0.0
1999_11_CHI_SD,16.3,14.85,65.5,9.8,1011.5,9.65,27.75,0.0,0.0
