game_id,temperature_2m,apparent_temperature,relativehumidity_2m,dewpoint_2m,surface_pressure,windspeed_10m,cloudcover,rain,snowfall
1999_01_MIN_ATL,30.25,30.0,28.25,9.875,982.9,9.825,5.0,0.0,0.0
1999_01_KC_CHI,24.150000000000002,22.700000000000003,53.25,13.774999999999999,990.725,18.7,79.75,0.2,0.0
1999_01_PIT_CLE,28.424999999999997,29.275,45.75,15.5,994.5250000000001,11.600000000000001,8.5,0.0,0.0
1999_01_OAK_GB,20.200000000000003,20.224999999999998,81.0,16.75,989.5999999999999,15.900000000000002,93.75,4.4,0.0
1999_01_BUF_IND,30.700000000000003,28.175,26.75,9.2,989.7,18.174999999999997,55.25,0.0,0.0
1999_01_SF_JAX,26.449999999999996,29.275,80.5,22.825000000000003,1016.125,17.975,87.0,1.8,0.0
1999_01_CAR_NO,28.949999999999996,32.125,72.25,23.424999999999997,1015.3,19.625,43.0,0.7,0.0
1999_01_NE_NYJ,25.0,26.075,46.5,12.774999999999999,1019.0,3.725,8.25,0.0,0.0
1999_01_ARI_PHI,26.45,27.25,37.0,10.625,1020.5,1.5,3.25,0.0,0.0
1999_01_DET_SEA,23.775000000000002,22.05,38.0,8.475,1015.25,13.8,0.0,0.0,0.0
1999_01_BAL_STL,25.849999999999998,25.325,52.5,14.474999999999998,998.375,14.025000000000002,85.5,1.6,0.0
1999_01_NYG_TB,29.200000000000003,33.650000000000006,71.5,23.5,1013.725,11.774999999999999,63.25,1.6,0.0
1999_01_CIN_TEN,32.150000000000006,31.4,31.0,12.850000000000001,1000.475,15.100000000000001,20.25,0.0,0.0
1999_01_DAL_WAS,26.35,26.625000000000004,39.0,11.3,1017.25,6.65,0.0,0.0,0.0
1999_01_MIA_DEN,15.524999999999999,13.05,51.0,5.3,844.3,8.9,4.25,0.0,0.0
1999_02_PIT_BAL,22.1,21.775,55.5,12.724999999999998,1018.025,10.200000000000001,50.0,0.0,0.0
1999_02_NYJ_BUF,22.324999999999996,21.224999999999998,44.75,9.8,994.6500000000001,10.525,10.0,0.0,0.0
1999_02_JAX_CAR,24.375,24.825,49.5,13.1,988.8,5.45,89.25,0.0,0.0
1999_02_SEA_CHI,25.25,23.5,45.5,12.600000000000001,989.0749999999999,21.375,17.0,0.0,0.0
1999_02_SD_CIN,27.275,26.0,26.0,6.025,994.175,5.6499999999999995,0.5,0.0,0.0
1999_02_GB_DET,24.325,21.975,38.75,9.275,992.875,17.75,11.25,0.0,0.0
1999_02_DEN_KC,21.4,22.025000000000002,72.75,16.325,981.475,10.95,100.0,1.0,0.0
1999_02_ARI_MIA,27.674999999999997,30.275,77.5,23.4,1011.825,21.55,79.25,1.7,0.0
1999_02_OAK_MIN,17.35,14.675,55.25,8.225,983.3,15.55,48.0,0.0,0.0
1999_02_IND_NE,20.174999999999997,20.275,53.25,10.275,1010.1500000000001,3.85,0.0,0.0,0.0
1999_02_WAS_NYG,22.125,21.525,49.75,11.2,1016.85,7.699999999999999,37.75,0.0,0.0
1999_02_TB_PHI,22.9,22.55,47.0,11.0,1018.2249999999999,7.299999999999999,43.75,0.0,0.0
1999_02_NO_SF,17.400000000000002,16.525,64.5,10.575000000000001,1009.9000000000001,12.024999999999999,25.5,0.0,0.0
1999_02_CLE_TEN,29.425,29.6,37.75,13.55,998.5749999999999,7.925000000000001,22.5,0.0,0.0
1999_02_ATL_DAL,29.275,27.824999999999996,43.75,15.575,998.45,23.175,10.25,0.0,0.0
1999_03_CLE_BAL,24.05,25.425,67.0,17.549999999999997,1021.775,11.7,0.25,0.0,0.0
1999_03_PHI_BUF,25.075000000000003,25.799999999999997,50.5,14.05,997.975,7.0249999999999995,0.0,0.0,0.0
1999_03_CIN_CAR,25.5,27.225,62.75,17.825,990.975,7.375,69.5,0.0,0.0
1999_03_MIN_GB,25.700000000000003,22.975,45.75,13.05,985.5500000000001,27.025,54.5,0.0,0.0
1999_03_TEN_JAX,24.375,27.875,93.5,23.3,1015.85,15.100000000000001,99.5,16.9,0.0
1999_03_DET_KC,27.1,27.325000000000003,52.25,16.4,975.875,17.075,55.75,0.0,0.0
1999_03_NYG_NE,17.775000000000002,17.1,53.25,8.15,1015.2,3.5749999999999997,5.75,0.0,0.0
1999_03_WAS_NYJ,19.650000000000002,19.450000000000003,61.0,11.925,1022.4750000000001,7.1,19.75,0.0,0.0
1999_03_CHI_OAK,26.549999999999997,27.15,34.25,9.55,1011.6999999999999,4.1,0.0,0.0,0.0
1999_03_SEA_PIT,28.174999999999997,27.85,35.0,11.275,989.825,9.100000000000001,0.0,0.0,0.0
1999_03_IND_SD,19.75,20.975,75.75,15.325,1008.3,10.6,19.25,0.0,0.0
1999_03_ATL_STL,30.325000000000003,28.025000000000002,32.5,12.049999999999999,994.125,23.049999999999997,16.5,0.0,0.0
1999_03_DEN_TB,25.474999999999998,30.2,94.0,24.425,1014.5,11.25,77.75,6.300000000000001,0.0
1999_03_SF_ARI,35.9,33.275,15.0,5.049999999999999,965.85,9.925,0.0,0.0,0.0
1999_04_BAL_ATL,26.725,27.65,55.5,16.925000000000004,984.175,11.1,33.25,0.3,0.0
1999_04_NO_CHI,8.524999999999999,4.3,79.5,5.15,1000.3999999999999,20.575,99.0,3.9000000000000004,0.0
1999_04_STL_CIN,23.325000000000003,22.75,45.25,10.75,999.0500000000001,8.75,40.5,0.0,0.0
1999_04_NE_CLE,14.9,12.025,54.75,5.925000000000001,1000.7750000000001,13.125,100.0,0.0,0.0
1999_04_ARI_DAL,31.25,33.425000000000004,43.25,17.15,1000.9,9.6,6.5,0.0,0.0
